id	route	sectie	volgorde	type	tekst	bronsoort	bron	copy_marker
_meta.commit.1	_meta	commit-hash	1	microcopy	95a50ab47963c019ff2593bdfd3c1b8106e617f1	code	git rev-parse HEAD	
_meta.timestamp.1	_meta	extractie-tijdstip	1	microcopy	2026-07-15T17:25:21Z	code	date -u	
_global.meta.1	_global	root-metadata	1	meta-title	The Movement Club | Boutique Training Studio Loosdrecht	code	src/app/layout.tsx:83	
_global.meta.2	_global	root-metadata	2	meta-description	Exclusieve boutique gym in Loosdrecht. Personal training, small group sessions, mobility en strength. Boek je gratis proefles.	code	src/app/layout.tsx:87	
_global.meta.3	_global	root-metadata	3	meta-title	%s | The Movement Club	code	src/app/layout.tsx:84	
_global.jsonld.1	_global	structured-data	1	json-ld	Exclusieve boutique gym in Loosdrecht. Personal training, small group sessions, mobility en strength.	code	src/lib/structuredData.ts:9	
_global.jsonld.2	_global	structured-data	2	json-ld	Yogavormen bij The Movement Club	code	src/lib/structuredData.ts:133	
_global.constants.1	_global	site-instellingen	1	label	The Movement Club	code	src/lib/constants.ts:25	
_global.constants.2	_global	site-instellingen	2	body	Where Strength Meets Movement	code	src/lib/constants.ts:26	
_global.constants.3	_global	site-instellingen	3	body	Boutique training studio in Loosdrecht. Persoonlijk. Exclusief. Resultaatgericht.	code	src/lib/constants.ts:28	
_global.constants.4	_global	site-instellingen	4	label	Head Trainer & Oprichtster	code	src/lib/constants.ts:45	
_global.campaignteaser.1	_global	campagne-teaser	1	microcopy	Binnenkort open in Loosdrecht. Word Early Member en profiteer als eerste mee.	code	src/components/layout/CampaignTeaser.tsx:46	
_global.campaignteaser.2	_global	campagne-teaser	2	microcopy	We zijn open. Early Member nog beschikbaar tot {deadlineLabel}.	code	src/components/layout/CampaignTeaser.tsx:47	
_global.campaignteaser.3	_global	campagne-teaser	3	microcopy	Binnenkort open in Loosdrecht.	code	src/components/layout/CampaignTeaser.tsx:50	
_global.campaignteaser.4	_global	campagne-teaser	4	microcopy	Early Member nog tot {deadlineLabel}.	code	src/components/layout/CampaignTeaser.tsx:51	
_global.campaignteaser.5	_global	campagne-teaser	5	cta	Word Early Member →	code	src/components/layout/CampaignTeaser.tsx:72	COPY: confirm met Marlon (regel 38, geldt voor alle teaser-teksten)
_global.campaignteaser.6	_global	campagne-teaser	6	microcopy	Sluiten	code	src/components/layout/CampaignTeaser.tsx:77	
_global.navbar.1	_global	navbar	1	label	TMC	code	src/components/layout/Navbar.tsx:104	
_global.navbar.2	_global	navbar	2	label	The Movement Club	code	src/components/layout/Navbar.tsx:107	
_global.navbar.3	_global	navbar	3	microcopy	The Movement Club, home	code	src/components/layout/Navbar.tsx:97	
